filename,score
02a86bbcf0d64eb5bb307d58bf1d39cc.JPG,59
02a9d944497243d5be4237d596f411f6.JPG,34
02aa008ebc134c81b8182f108df6ddb8.JPG,72
02af232b87c54c9981bf4cada743fe3c.JPG,72
02b0d81f25e543329f56a4fca7fa4935.JPG,44
02ba92cc517a4e07b54e146c75a33766.JPG,62
02cd8554a4b24a15b06eac11c194e721.JPG,50
02cdef71b99b4a55a3316aca8367834e.JPG,75
02d41fef57ef475388b5fa2021c1ae17.JPG,34
02d4b55840344f78bf23b2286d63dedb.JPG,34
02df973a51e54011a4e5b91f1b7204aa.JPG,62
02e049cbaf5b43dcaa7d04af9609e39e.JPG,66
02e5a88daedd45f6a3f721df4fd34fa2.JPG,53
02ed72a1f5e14e8dba9d4bf5f21ae71f.JPG,34
02f3cbd74842457b96b4996b0200cbef.JPG,81
02f4cb0625bc40738b00ee83bb4d5b10.JPG,78
02f639d4992444bb8b122eab6503e896.JPG,41
02fb70c092194dc5b9f86f6ae0c7006e.JPG,50
0305317f438a487bb0dee67fc3f04351.JPG,34
0305bfa705764caab6bdaf1b7a241ce8.JPG,50
030625a46a42451390db3674d968dffe.JPG,78
030c71a2e2bd4688a90fae6c5469f9ff.JPG,34
0310df37e0994c72be8d27e1732874d5.JPG,59
03129f9f11734139b4e99d201480bfa2.JPG,41
0315e660cc334d539859a1e0c3b30a39.JPG,34
031d982920e24792af64d9eb58ab855d.JPG,44
0329f58fd34a44ad936fd4b36102fc32.JPG,34
032bb6559aff40968d2e0f58d63309ae.JPG,38
032e350ed8524de5a8f91088ffc82c50.JPG,56
0330bfd743e54a42adaa80e963f6b0ba.JPG,62
0330c17cc5e24db28553a11b37dd90a1.JPG,56
033194c8d97642698f4f6a6c8ae29e57.JPG,66
03340dd3217b451d9c2b76d6b64bdcee.JPG,59
0337783a99924ab28d86030bab5da6f8.JPG,44
033b50e0816344e2a14c1d2cd98fd280.JPG,62
033fa669dd9949c1bc5511155c1dac79.JPG,62
0346db53a70043d4abe1c90049cd5edb.JPG,75
034b4fbbb3a14fe286fe59c03b758938.JPG,62
034d6947eb8440ea880012584e9cd180.JPG,31
034f7bef4e7a4294bd4ac29544af9053.JPG,47
035048b7676f475185645a74621aeee6.JPG,41
03509d9fd2c34c2f95c3b93dd53162cd.JPG,56
035b0d2c75684d9bb5c203ae602cf759.JPG,50
035fbe182163452a9789dfe2f02f2748.JPG,56
036613aedd2d49b58a4a9af0636d0bb1.JPG,41
036678f132f84f1884a4234cb0ce6f2b.JPG,69
0369618d9bab45cda67e9302d038f329.JPG,53
036a785360ea42858b2350f981ac3985.JPG,56
0373a32827064ebba4733c89105b581f.JPG,50
037bd2d980fd4f568a292014e953eef5.JPG,59
038100a8e7a54a44aad9a8dd00c93c09.JPG,75
038455b0fbfe4027baa15f4a20019cb4.JPG,59
0385964d2d1c4320ba80d8fa843feb7c.JPG,53
03868c33ed7d42e78eaa963a9b1ef21c.JPG,75
038b773801ab431b88354475e74451cb.JPG,62
038cf6d7da214bbebb838ed291055247.JPG,53
038e90b2d0cc424195fe6ba084ae457b.JPG,34
03902b896323404f83f29f9da4006983.JPG,69
039ae76795dc434896f5779aace56289.JPG,38
039f5604c6984e68a364166a6af84d8a.JPG,41
039fd31eb67243849948ebb6a41a9782.JPG,34
03a82e9eacbc48cb935139eb83ca3160.JPG,47
03a908fa01954865ac8e9a82e3237ef3.JPG,84
03b261533bc34a68944eac5fc25f44fe.JPG,66
03b9f53f95224038a4d0e6d283e39580.JPG,62
03bc9ffd469e4b0886c8b5f82654f965.JPG,34
03c7a85b525a4c7bb19a2f597ac6a39b.JPG,41
03c936e7ee2d49a2b2abb4852abae13e.JPG,47
03c97383f91041dc927e5d1bf74001a9.JPG,69
03cd08751b784b5e9c28b1d21f7e6ba7.JPG,41
03d531937d1946c685f5da25ac90f5b2.JPG,81
03d77b5dd90d465482961709c6c21fbd.JPG,53
03dece9fa7b44d5db9dbcadbaf482f11.JPG,53
03dff7461a0d4cd980c293329893575f.JPG,44
03e9898060344949b3044256e3131897.JPG,41
03eb4aa9d3404e12b5d6a9e2a28a09e6.JPG,34
03ecf361322b451ba31055454c5de826.JPG,41
03ef39a132e04514b2f4904a44e770dc.JPG,41
03f0860bcc044ed6a95a60b793f99fb4.JPG,41
03f0c41210f74b04956b38185bafd4a6.JPG,56
03f14a1f65534e1d82dc93e60c3833dc.JPG,59
03f2c9fa58c148ac879a4cc852b88255.JPG,47
03f940b7edcc4652919fbe363a615eed.JPG,34
03feb3a9b5314519a7d12320091f6b13.JPG,66
03fef694ff4f4eb98fd4615eb4c7b4cf.JPG,62
0404eaeda2644372af3e87536eab733f.JPG,69
0405a640ec854980b384d8ba0d9d69f0.JPG,53
040a2c0fc3fe4db7851b1f132b0025ee.JPG,34
040ca936161543268bc9067f0b028d18.JPG,72
040cad964d5c41ac943070e6c8de7e0b.JPG,34
040d126bcb0342348a6218a9e6e24a0b.JPG,34
040efeb1015e45b4a405ff90b453556a.JPG,34
04153e94d3624134966f29b232c17ba4.JPG,62
041959d57d3441bbb8ead3b25f85cd1d.JPG,75
041baaf1b43a4cf5815ba563b49e5b81.JPG,69
041d6fb69d644295b589d29ef4464edb.JPG,97
041f59f3a48a49cc928e3ff4f5262e4c.JPG,34
04211e6b99d84c5397267a4244dbd8c0.JPG,34
04220299a2114c3b9a8ce88ab1465655.JPG,69
0422cc4442dc4d2e8468b84d6ed313d1.JPG,75
042aec8d020946a18a95c0bf8556229b.JPG,47
042db5ec1bd6455d81c0e4be7c8121da.JPG,38
042e3be4a2c34108bf263fb2eb312865.JPG,62
0434e4b3cfe94ae5a176530d33f50968.JPG,44
0444995ada1f4d0085fc9f9491c13cf9.JPG,44
0444ee42530c455eb2cf7996c17b7ae3.JPG,34
044afd590f7343d0962255459e399e45.JPG,72
044c20c5d58045da8233aae681a666ec.JPG,59
0454b7847b6c4b5bb4c32cede36c23b2.JPG,59
04553d0fbf0948f295e644e5dc5d0bf2.JPG,69
0455a439b11043b8a78a33f79b44f022.JPG,53
045668ca983240418c3784d07d4aeb57.JPG,66
0457ccd907fe4749815364849f77bac5.JPG,62
045c9bece6ed4152a19d3c6ef8f55223.JPG,34
045d919370a542a2a9fe7f3bd5cba46f.JPG,34
